bits	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
80	52	131800	129800	31.697932	31.216931	79	80	80	0.2	0.02	80	50	0.9615	2636	2596	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	65	357500	342500	69.02877	66.132458	77	79.7	80	0.7	0.02	80	50	0.7692	7150	6850	0	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	125400	125400	31.35	31.35	80	80	80	0	0.02	80	50	1	2508	2508	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	68	406000	369400	74.893931	68.142409	78	79.7	80	0.5	0.03	80	50	0.7353	8120	7388	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	59	524200	506200	111.271492	107.450647	79	79.8	80	0.4	0.03	80	50	0.8475	10484	10124	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	215000	215000	53.75	53.75	80	80	80	0	0.04	80	50	1	4300	4300	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	236400	236400	59.1	59.1	80	80	80	0	0.04	80	50	1	4728	4728	0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	52	447600	439600	107.647908	105.723906	79	80	80	0.2	0.04	80	50	0.9615	8952	8792	0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	414800	414800	103.7	103.7	80	80	80	0	0.06	80	50	1	8296	8296	0.1	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	720000	720000	180	180	80	80	80	0	0.06	80	50	1	14400	14400	0.1	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50	506721	506721	126.68025	126.68025	80	80	80	0	0.58	80	50	1	10134	10134	0.6	Mimicker(size=200,keep=2)
80	52	588729	548529	141.589466	131.921356	79	80	80	0.2	0.63	80	50	0.9615	11775	10971	0.7	Mimicker(size=200,keep=4)
80	52	686013	645813	164.986291	155.318182	79	80	80	0.2	0.75	80	50	0.9615	13720	12916	0.8	Mimicker(size=200,keep=6)
80	50	500047	500047	125.01175	125.01175	80	80	80	0	0.44	80	50	1	10001	10001	0.4	Mimicker(size=400,keep=2)
80	50	810020	810020	202.505	202.505	80	80	80	0	0.9	80	50	1	16200	16200	0.9	Mimicker(size=400,keep=4)
80	51	1111973	1071873	272.609218	262.778377	79	80	80	0.1	0.94	80	50	0.9804	22239	21437	1	Mimicker(size=400,keep=6)
80	53	766815	706515	180.980647	166.748879	79	79.9	80	0.2	0.19	80	50	0.9434	15336	14130	0.2	Mimicker(size=200,keep=1)
90	50	16119	16119	3.582	3.582	90	90	90	0	0	90	50	1	322	322	0	HillClimber(neighbor=SingleBitFlipper)
90	50	15573	15573	3.460667	3.460667	90	90	90	0	0	90	50	1	311	311	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
90	50	15917	15917	3.537111	3.537111	90	90	90	0	0	90	50	1	318	318	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
90	50	16558	16558	3.679556	3.679556	90	90	90	0	0	90	50	1	331	331	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
90	50	15332	15332	3.407111	3.407111	90	90	90	0	0	90	50	1	307	307	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
90	50	16660	16660	3.702222	3.702222	90	90	90	0	0	90	50	1	333	333	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
90	50	16330	16330	3.628889	3.628889	90	90	90	0	0	90	50	1	327	327	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
90	50	16240	16240	3.608889	3.608889	90	90	90	0	0	90	50	1	325	325	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
90	50	16943	16943	3.765111	3.765111	90	90	90	0	0	90	50	1	339	339	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
90	50	19295	19295	4.287778	4.287778	90	90	90	0	0	90	50	1	386	386	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
90	50	72705	72705	16.156667	16.156667	90	90	90	0	0	90	50	1	1454	1454	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
90	53	151200	148200	31.718062	31.088735	89	89.9	90	0.2	0.02	90	50	0.9434	3024	2964	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
90	85	537000	499700	70.667193	65.758652	85	89.4	90	0.9	0.04	90	50	0.5882	10740	9994	0.1	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
90	50	134600	134600	29.911111	29.911111	90	90	90	0	0.02	90	50	1	2692	2692	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
90	63	416400	390400	73.660004	69.060676	88	89.7	90	0.6	0.03	90	50	0.7937	8328	7808	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
90	72	743400	699400	115.202232	108.383698	87	89.6	90	0.6	0.06	90	50	0.6944	14868	13988	0.1	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
90	50	238800	238800	53.066667	53.066667	90	90	90	0	0.04	90	50	1	4776	4776	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
